4	2	0	555	space
3	2	0	555	宇宙
2	2	0	555	宇宙
1	2	0	555	우주
0	0	0	627	Arena
4	2	0	583	shrine
3	2	0	583	寺廟
2	2	0	583	お寺
1	2	0	583	절
0	0	0	656	Bridge
4	2	0	599	shipdeck
3	2	0	599	船上
2	2	0	599	船上
1	2	0	599	선상
0	0	0	709	Desert
4	2	0	601	sky
3	2	0	601	天空
2	2	0	601	空
1	2	0	601	하늘
0	0	0	641	Dungeon1
4	2	0	607	ghost-town
3	2	0	607	老街
2	2	0	607	旧市街
1	2	0	607	구시가지
0	0	0	635	Dungeon2
4	2	0	611	wasteland
3	2	0	611	廢墟
2	2	0	611	廃墟
1	2	0	611	폐허
0	0	0	669	Dungeon3
4	2	0	612	bath
3	2	0	612	澡堂
2	2	0	612	銭湯
1	2	0	612	공중 목욕탕
0	0	0	707	Dungeon4
4	2	0	614	road
3	2	0	614	道路
2	2	0	614	路上
1	2	0	614	도로 위
0	0	0	666	Dungeon5
4	2	0	618	swamp
3	2	0	618	毒沼
2	2	0	618	毒沼
1	2	0	618	독연못
0	0	0	676	Dungeon6
4	2	0	627	arena
3	2	0	627	競技場
2	2	0	627	闘技場
1	2	0	627	투기장
0	0	0	712	Graveyard
4	2	0	634	forest1
3	2	0	634	森林1
2	2	0	634	森１
1	2	0	634	숲１
0	0	0	634	Forest1
4	2	0	635	dungeon2
3	2	0	635	迷宮2
2	2	0	635	ダンジョン２
1	2	0	635	던젼２
0	0	0	674	Forest2
4	2	0	641	dungeon1
3	2	0	641	迷宮1
2	2	0	641	ダンジョン１
1	2	0	641	던젼１
0	0	0	689	Beach
4	2	0	647	snowfield
3	2	0	647	雪原
2	2	0	647	雪原
1	2	0	647	설원
0	0	0	660	Mountain Road
4	2	0	650	barren
3	2	0	650	荒地
2	2	0	650	荒地
1	2	0	650	황야
0	0	0	678	Temple2
4	2	0	654	castle
3	2	0	654	王位
2	2	0	654	玉座
1	2	0	654	옥좌
0	0	0	612	Bathhouse
4	2	0	656	bridge
3	2	0	656	橋
2	2	0	656	橋
1	2	0	656	다리
0	0	0	599	Ship
4	2	0	660	mountain
3	2	0	660	山路
2	2	0	660	山道
1	2	0	660	산길
0	0	0	665	Grassland
4	2	0	665	plains
3	2	0	665	草原
2	2	0	665	草原
1	2	0	665	초원
0	0	0	692	Town
4	2	0	666	dungeon5
3	2	0	666	迷宮5
2	2	0	666	ダンジョン５
1	2	0	666	던젼５
0	0	0	607	Old Town
4	2	0	669	dungeon3
3	2	0	669	迷宮3
2	2	0	669	ダンジョン３
1	2	0	669	던젼３
0	0	0	618	Swamp
4	2	0	673	building
3	2	0	673	洋館
2	2	0	673	洋館
1	2	0	673	양관(서양식집)
0	0	0	718	Rocky Road
4	2	0	674	forest2
3	2	0	674	森林2
2	2	0	674	森２
1	2	0	674	숲２
0	0	0	611	Ruins1
4	2	0	676	dungeon6
3	2	0	676	迷宮6
2	2	0	676	ダンジョン６
1	2	0	676	던젼６
0	0	0	701	Ruins2
4	2	0	678	ruins1
3	2	0	678	神殿
2	2	0	678	神殿
1	2	0	678	신전
0	0	0	777	Sea
4	2	0	684	strange
3	2	0	684	異次元空間
2	2	0	684	異空間
1	2	0	684	이공간
0	0	0	601	Sky
4	2	0	689	beach
3	2	0	689	淺灘
2	2	0	689	砂浜
1	2	0	689	사구
0	0	0	647	Snow Field
4	2	0	692	town
3	2	0	692	街道
2	2	0	692	街中
1	2	0	692	길가운데
0	0	0	555	Universe
4	2	0	701	ruins2
3	2	0	701	遺跡
2	2	0	701	遺跡
1	2	0	701	유적
0	0	0	583	Temple1
4	2	0	707	dungeon4
3	2	0	707	迷宮4
2	2	0	707	ダンジョン４
1	2	0	707	던젼４
0	0	0	614	Road
4	2	0	709	desert
3	2	0	709	沙漠
2	2	0	709	砂漠
1	2	0	709	사막
0	0	0	684	Space
4	2	0	712	graveyard
3	2	0	712	墳場
2	2	0	712	お墓
1	2	0	712	바닥
0	0	0	654	Castle
4	2	0	718	rockbed
3	2	0	718	岩壁
2	2	0	718	岩場
1	2	0	718	바위
0	0	0	673	Mansion
4	2	0	777	ocean
3	2	0	777	海
2	2	0	777	海
1	2	0	777	바다
0	0	0	650	Wasteland
4	1	1	19	Arrow
4	2	1	19	bow2
3	1	1	19	箭
3	2	1	19	箭
2	1	1	19	矢
2	2	1	19	矢
1	1	1	19	화살
1	2	1	19	화살
0	0	1	19	Arrow
4	1	1	20	Sphere
4	2	1	20	cure2
3	1	1	20	治療
3	2	1	20	治療
2	1	1	20	治療
2	2	1	20	治療
1	1	1	20	치료
1	2	1	20	치료
0	0	1	20	Treatment
4	1	1	27	Sword1
4	2	1	27	sword2
3	1	1	27	劍1
3	2	1	27	劍1
2	1	1	27	剣1
2	2	1	27	剣1
1	1	1	27	검1
1	2	1	27	검1
0	0	1	27	Sword1
4	1	1	32	Barrier
4	2	1	32	barrier2
3	1	1	32	防護罩
3	2	1	32	護罩
2	1	1	32	バリア
2	2	1	32	バリア
1	1	1	32	배리어
1	2	1	32	베리어
0	0	1	32	Barrier
4	1	1	33	Absorption
4	2	1	33	absorb2
3	1	1	33	吸收
3	2	1	33	吸收
2	1	1	33	吸収
2	2	1	33	吸収
1	1	1	33	흡수
1	2	1	33	흡수
0	0	1	33	Bite
4	1	1	35	Sun
4	2	1	35	healing2
3	1	1	35	回復
3	2	1	35	回復
2	1	1	35	回復
2	2	1	35	回復
1	1	1	35	회복
1	2	1	35	회복
0	0	1	35	Recovery
4	1	1	36	Axe
4	2	1	36	axe2
3	1	1	36	斧
3	2	1	36	斧
2	1	1	36	斧
2	2	1	36	斧
1	1	1	36	손도끼
1	2	1	36	도끼
0	0	1	36	Axe
4	1	1	54	Sword2
4	2	1	54	sword3
3	1	1	54	劍2
3	2	1	54	劍2
2	1	1	54	剣2
2	2	1	54	剣2
1	1	1	54	검2
1	2	1	54	검2
0	0	1	54	Sword2
4	1	1	59	Wind
4	2	1	59	wind2
3	1	1	59	風
3	2	1	59	風
2	1	1	59	風
2	2	1	59	風
1	1	1	59	바람
1	2	1	59	바람
0	0	1	59	Wind
4	1	1	63	Fang
4	2	1	63	claw2
3	1	1	63	爪
3	2	1	63	爪
2	1	1	63	爪
2	2	1	63	爪
1	1	1	63	손톱
1	2	1	63	손톱
0	0	1	63	Claw
